Home Team,Away Team,Year,HomeGoals,AwayGoals,Total Goals
Algeria,Egypt,1980,2,2,4
Nigeria,Morocco,1980,1,0,1
Morocco,Ghana,1980,1,0,1
Algeria,Guinea,1980,3,2,5
Ghana,Guinea,1980,1,0,1
Algeria,Morocco,1980,1,0,1
Morocco,Guinea,1980,1,1,2
Nigeria,Egypt,1980,1,0,1
Ivory Coast,Tanzania,1980,1,1,2
Nigeria,Ivory Coast,1980,0,0,0
Egypt,Ivory Coast,1980,2,1,3
Nigeria,Tanzania,1980,3,1,4
Ghana,Algeria,1980,0,0,0
Egypt,Tanzania,1980,2,1,3
Ghana,Libya,1982,1,1,2
Zambia,Ethiopia,1982,1,0,1
Zambia,Algeria,1982,2,0,2
Libya,Zambia,1982,2,1,3
Ghana,Algeria,1982,3,2,5
Zambia,Nigeria,1982,3,0,3
Algeria,Ethiopia,1982,0,0,0
Algeria,Nigeria,1982,2,1,3
Algeria,Zambia,1982,1,0,1
Libya,Cameroon,1982,0,0,0
Ghana,Tunisia,1982,1,0,1
Libya,Tunisia,1982,2,0,2
Cameroon,Ghana,1982,0,0,0
Cameroon,Tunisia,1982,1,1,2
Libya,Ghana,1982,2,2,4
Nigeria,Ethiopia,1982,3,0,3
Algeria,Egypt,1984,3,1,4
Algeria,Cameroon,1984,0,0,0
Egypt,Nigeria,1984,2,2,4
Ghana,Malawi,1984,1,0,1
Algeria,Nigeria,1984,0,0,0
Algeria,Ghana,1984,2,0,2
Malawi,Nigeria,1984,2,2,4
Cameroon,Nigeria,1984,3,1,4
Ghana,Nigeria,1984,1,2,3
Ivory Coast,Cameroon,1984,0,2,2
Egypt,Togo,1984,0,0,0
Ivory Coast,Egypt,1984,1,2,3
Cameroon,Togo,1984,4,1,5
Egypt,Cameroon,1984,1,0,1
Ivory Coast,Togo,1984,3,0,3
Algeria,Malawi,1984,3,0,3
Egypt,Cameroon,1986,0,0,0
Ivory Coast,Morocco,1986,3,2,5
Egypt,Morocco,1986,1,0,1
Cameroon,Ivory Coast,1986,1,0,1
Cameroon,Algeria,1986,3,2,5
Morocco,Zambia,1986,1,0,1
Cameroon,Morocco,1986,1,1,2
Algeria,Zambia,1986,0,0,0
Cameroon,Zambia,1986,3,2,5
Egypt,Mozambique,1986,2,0,2
Ivory Coast,Senegal,1986,1,0,1
Egypt,Ivory Coast,1986,2,0,2
Senegal,Mozambique,1986,2,0,2
Ivory Coast,Mozambique,1986,3,0,3
Senegal,Egypt,1986,1,0,1
Algeria,Morocco,1986,0,0,0
Egypt,Kenya,1988,3,0,3
Cameroon,Nigeria,1988,1,0,1
Morocco,Algeria,1988,1,1,2
Morocco,Cameroon,1988,0,1,1
Nigeria,Algeria,1988,1,1,2
Cameroon,Kenya,1988,0,0,0
Cameroon,Nigeria,1988,1,1,2
Nigeria,Egypt,1988,0,0,0
Cameroon,Egypt,1988,1,0,1
Morocco,Ivory Coast,1988,0,0,0
Algeria,Zaire,1988,1,0,1
Nigeria,Kenya,1988,3,0,3
Morocco,Algeria,1988,1,0,1
Ivory Coast,Zaire,1988,1,1,2
Ivory Coast,Algeria,1988,1,1,2
Morocco,Zaire,1988,1,1,2
Algeria,Nigeria,1990,1,0,1
Zambia,Senegal,1990,1,0,1
Algeria,Senegal,1990,2,1,3
Zambia,Nigeria,1990,0,2,2
Cameroon,Kenya,1990,2,0,2
Zambia,Senegal,1990,0,0,0
Senegal,Cameroon,1990,2,0,2
Zambia,Kenya,1990,1,0,1
Zambia,Cameroon,1990,1,0,1
Algeria,Egypt,1990,2,0,2
Nigeria,Ivory Coast,1990,1,0,1
Algeria,Ivory Coast,1990,3,0,3
Nigeria,Egypt,1990,1,0,1
Ivory Coast,Egypt,1990,3,1,4
Algeria,Nigeria,1990,5,1,6
Senegal,Kenya,1990,0,0,0
Ghana,Egypt,1992,1,0,1
Nigeria,Zaire,1992,1,0,1
Cameroon,Senegal,1992,1,0,1
Ivory Coast,Zambia,1992,1,0,1
Ivory Coast,Ghana,1992,0,0,0
Ghana,Nigeria,1992,2,1,3
Cameroon,Ivory Coast,1992,0,0,0
Nigeria,Cameroon,1992,2,1,3
Ghana,Congo,1992,2,1,3
Ghana,Zambia,1992,1,0,1
Senegal,Kenya,1992,3,0,3
Algeria,Congo,1992,1,1,2
Zambia,Egypt,1992,1,0,1
Nigeria,Kenya,1992,2,1,3
Cameroon,Morocco,1992,1,0,1
Nigeria,Senegal,1992,2,1,3
Cameroon,Zaire,1992,1,1,2
Ivory Coast,Algeria,1992,3,0,3
Ivory Coast,Congo,1992,0,0,0
Morocco,Zaire,1992,1,1,2
Zaire,Nigeria,1994,0,2,2
Nigeria,Zambia,1994,2,1,3
Ivory Coast,Mali,1994,3,1,4
Zambia,Mali,1994,4,0,4
Nigeria,Ivory Coast,1994,2,2,4
Ghana,Ivory Coast,1994,1,2,3
Zambia,Senegal,1994,1,0,1
Egypt,Mali,1994,0,1,1
Ghana,Senegal,1994,1,0,1
Senegal,Guinea,1994,2,1,3
Zambia,Ivory Coast,1994,1,0,1
Zambia,Sierra Leone,1994,0,0,0
Ivory Coast,Sierra Leone,1994,4,0,4
Nigeria,Egypt,1994,0,0,0
Egypt,Gabon,1994,4,0,4
Nigeria,Gabon,1994,3,0,3
Tunisia,Zaire,1994,1,1,2
Mali,Zaire,1994,0,1,1
Tunisia,Mali,1994,0,2,2
Ghana,Guinea,1994,1,0,1
Ghana,Tunisia,1996,2,1,3
Ivory Coast,Mozambique,1996,1,0,1
Tunisia,Ivory Coast,1996,3,1,4
Ghana,Mozambique,1996,2,0,2
South Africa,Algeria,1996,2,1,3
Zambia,Egypt,1996,3,1,4
Ghana,Zambia,1996,0,1,1
Ghana,Zaire,1996,1,0,1
South Africa,Ghana,1996,3,0,3
Zambia,Tunisia,1996,2,4,6
Tunisia,Mozambique,1996,1,1,2
South Africa,Tunisia,1996,2,0,2
Gabon,Tunisia,1996,1,1,2
Ghana,Ivory Coast,1996,2,0,2
Gabon,Liberia,1996,1,2,3
Gabon,Zaire,1996,2,0,2
South Africa,Cameroon,1996,3,0,3
Egypt,Angola,1996,2,1,3
Cameroon,Egypt,1996,2,1,3
Zaire,Liberia,1996,2,0,2
South Africa,Egypt,1996,0,1,1
Angola,Cameroon,1996,3,3,6
South Africa,Angola,1996,1,0,1
Sierra Leone,Burkina Faso,1996,2,1,3
Algeria,Sierra Leone,1996,2,0,2
Zambia,Burkina Faso,1996,5,1,6
Algeria,Burkina Faso,1996,2,1,3
Zambia,Sierra Leone,1996,4,0,4
Zambia,Algeria,1996,0,0,0
Zambia,Mozambique,1998,3,1,4
Morocco,Zambia,1998,1,1,2
Egypt,Mozambique,1998,2,0,2
Egypt,Zambia,1998,4,0,4
Morocco,Mozambique,1998,3,0,3
South Africa,Egypt,1998,0,2,2
Morocco,Egypt,1998,1,0,1
South Africa,Namibia,1998,4,1,5
Tunisia,Burkina Faso,1998,1,1,2
Ivory Coast,Egypt,1998,0,0,0
Morocco,South Africa,1998,1,2,3
DR Congo,South Africa,1998,1,2,3
Burkina Faso,Egypt,1998,0,2,2
DR Congo,Burkina Faso,1998,4,4,8
Cameroon,DR Congo,1998,0,1,1
Ivory Coast,Angola,1998,5,2,7
Togo,Ghana,1998,2,1,3
Ivory Coast,South Africa,1998,1,1,2
Burkina Faso,Cameroon,1998,0,1,1
Algeria,Guinea,1998,0,1,1
Cameroon,Guinea,1998,2,2,4
Burkina Faso,Algeria,1998,2,1,3
Burkina Faso,Guinea,1998,1,0,1
Cameroon,Algeria,1998,2,1,3
Angola,Namibia,1998,3,3,6
Ghana,Tunisia,1998,2,0,2
Tunisia,DR Congo,1998,2,1,3
DR Congo,Ghana,1998,1,0,1
Tunisia,Togo,1998,3,1,4
South Africa,Angola,1998,0,0,0
Ivory Coast,Namibia,1998,4,3,7
DR Congo,Togo,1998,2,1,3
Morocco,Congo,2000,1,0,1
Nigeria,Congo,2000,0,0,0
Tunisia,Morocco,2000,0,0,0
Nigeria,Morocco,2000,2,0,2
Tunisia,Congo,2000,1,0,1
Cameroon,Algeria,2000,2,1,3
Nigeria,South Africa,2000,2,0,2
Egypt,Tunisia,2000,0,1,1
Nigeria,Senegal,2000,2,1,3
Cameroon,Tunisia,2000,3,0,3
South Africa,Tunisia,2000,2,2,4
Nigeria,Cameroon,2000,2,2,4
Nigeria,Tunisia,2000,4,2,6
South Africa,Ghana,2000,1,0,1
Zambia,Senegal,2000,2,2,4
Egypt,Burkina Faso,2000,4,2,6
Ghana,Cameroon,2000,1,1,2
Zambia,Burkina Faso,2000,1,1,2
Ivory Coast,Togo,2000,1,1,2
Ghana,Togo,2000,2,0,2
Cameroon,Ivory Coast,2000,3,0,3
Cameroon,Togo,2000,0,1,1
South Africa,Gabon,2000,3,1,4
DR Congo,Algeria,2000,0,0,0
Ghana,Ivory Coast,2000,0,2,2
Algeria,Gabon,2000,3,1,4
South Africa,Algeria,2000,1,1,2
DR Congo,Gabon,2000,0,0,0
Egypt,Zambia,2000,2,0,2
Burkina Faso,Senegal,2000,1,3,4
Egypt,Senegal,2000,1,0,1
South Africa,DR Congo,2000,1,0,1
Senegal,Tunisia,2002,0,0,0
Egypt,Senegal,2002,0,1,1
Zambia,Tunisia,2002,0,0,0
Egypt,Tunisia,2002,1,0,1
Senegal,Zambia,2002,1,0,1
Egypt,Zambia,2002,2,1,3
South Africa,Mali,2002,0,2,2
DR Congo,Ivory Coast,2002,3,1,4
Cameroon,Egypt,2002,1,0,1
Senegal,DR Congo,2002,2,0,2
Nigeria,Senegal,2002,1,2,3
Mali,Cameroon,2002,0,3,3
Nigeria,Mali,2002,1,0,1
Senegal,Cameroon,2002,0,0,0
Nigeria,Ghana,2002,1,0,1
Cameroon,Togo,2002,3,0,3
Mali,Liberia,2002,1,1,2
Cameroon,Ivory Coast,2002,1,0,1
DR Congo,Togo,2002,0,0,0
Algeria,Nigeria,2002,0,1,1
Mali,Nigeria,2002,0,0,0
Liberia,Algeria,2002,2,2,4
Liberia,Nigeria,2002,0,1,1
South Africa,Burkina Faso,2002,0,0,0
Mali,Algeria,2002,2,0,2
South Africa,Ghana,2002,0,0,0
Burkina Faso,Morocco,2002,1,2,3
South Africa,Morocco,2002,3,1,4
Burkina Faso,Ghana,2002,1,2,3
Cameroon,DR Congo,2002,1,0,1
Togo,Ivory Coast,2002,0,0,0
Morocco,Ghana,2002,0,0,0
Nigeria,Benin,2004,2,1,3
Nigeria,Morocco,2004,0,1,1
South Africa,Benin,2004,2,0,2
Nigeria,South Africa,2004,4,0,4
Morocco,Benin,2004,4,0,4
Morocco,South Africa,2004,1,1,2
Mali,Guinea,2004,2,1,3
Tunisia,Morocco,2004,2,1,3
Cameroon,Nigeria,2004,1,2,3
Morocco,Algeria,2004,3,1,4
Tunisia,Nigeria,2004,1,1,2
Morocco,Mali,2004,4,0,4
Nigeria,Mali,2004,2,1,3
Algeria,Zimbabwe,2004,1,2,3
Tunisia,Senegal,2004,1,0,1
Cameroon,Egypt,2004,0,0,0
Zimbabwe,Egypt,2004,1,2,3
Cameroon,Zimbabwe,2004,5,3,8
DR Congo,Guinea,2004,1,2,3
Rwanda,Guinea,2004,1,1,2
Tunisia,DR Congo,2004,3,0,3
Tunisia,Guinea,2004,1,1,2
Rwanda,DR Congo,2004,1,0,1
Kenya,Mali,2004,1,3,4
Tunisia,Rwanda,2004,2,1,3
Senegal,Kenya,2004,3,0,3
Burkina Faso,Mali,2004,1,3,4
Senegal,Mali,2004,1,1,2
Burkina Faso,Kenya,2004,0,3,3
Algeria,Egypt,2004,2,1,3
Cameroon,Algeria,2004,1,1,2
Senegal,Burkina Faso,2004,0,0,0
Zimbabwe,Senegal,2006,0,2,2
Ghana,Senegal,2006,1,0,1
Nigeria,Zimbabwe,2006,2,0,2
Nigeria,Senegal,2006,2,1,3
Ghana,Zimbabwe,2006,1,2,3
Guinea,Senegal,2006,2,3,5
Egypt,Senegal,2006,2,1,3
Nigeria,Tunisia,2006,1,1,2
Cameroon,Ivory Coast,2006,1,1,2
Nigeria,Ivory Coast,2006,0,1,1
Senegal,Nigeria,2006,0,1,1
Egypt,Ivory Coast,2006,0,0,0
Nigeria,Ghana,2006,1,0,1
Egypt,DR Congo,2006,4,1,5
Zambia,South Africa,2006,1,0,1
Tunisia,Guinea,2006,0,3,3
Egypt,Libya,2006,3,0,3
Tunisia,South Africa,2006,2,0,2
Morocco,Ivory Coast,2006,0,1,1
Libya,Ivory Coast,2006,1,2,3
Egypt,Morocco,2006,0,0,0
Libya,Morocco,2006,0,0,0
Cameroon,Angola,2006,3,1,4
Togo,DR Congo,2006,0,2,2
Egypt,Ivory Coast,2006,3,1,4
Cameroon,Togo,2006,2,0,2
Angola,Togo,2006,3,2,5
Cameroon,DR Congo,2006,2,0,2
Tunisia,Zambia,2006,4,1,5
South Africa,Guinea,2006,0,2,2
Zambia,Guinea,2006,1,2,3
Angola,DR Congo,2006,0,0,0
Tunisia,Angola,2008,0,0,0
Tunisia,Senegal,2008,2,2,4
South Africa,Angola,2008,1,1,2
Senegal,Angola,2008,1,3,4
Tunisia,South Africa,2008,3,1,4
Senegal,South Africa,2008,1,1,2
Ghana,Nigeria,2008,2,1,3
Egypt,Zambia,2008,1,1,2
Egypt,Angola,2008,2,1,3
Tunisia,Cameroon,2008,2,3,5
Ghana,Cameroon,2008,0,1,1
Ivory Coast,Egypt,2008,1,4,5
Ghana,Ivory Coast,2008,4,2,6
Cameroon,Egypt,2008,0,1,1
Ivory Coast,Guinea,2008,5,0,5
Cameroon,Sudan,2008,3,0,3
Ghana,Guinea,2008,2,1,3
Cameroon,Zambia,2008,5,1,6
Egypt,Sudan,2008,3,0,3
Namibia,Morocco,2008,1,5,6
Guinea,Morocco,2008,3,2,5
Ghana,Namibia,2008,1,0,1
Guinea,Namibia,2008,1,1,2
Nigeria,Ivory Coast,2008,0,1,1
Ghana,Morocco,2008,2,0,2
Ivory Coast,Benin,2008,4,1,5
Nigeria,Mali,2008,0,0,0
Nigeria,Benin,2008,2,0,2
Ivory Coast,Mali,2008,3,0,3
Egypt,Cameroon,2008,4,2,6
Sudan,Zambia,2008,0,3,3
Mali,Benin,2008,1,0,1
Cameroon,Tunisia,2010,2,2,4
Cameroon,Gabon,2010,0,1,1
Zambia,Tunisia,2010,1,1,2
Gabon,Tunisia,2010,0,0,0
Cameroon,Zambia,2010,3,2,5
Gabon,Zambia,2010,1,2,3
Angola,Ghana,2010,0,1,1
Ghana,Egypt,2010,0,1,1
Egypt,Cameroon,2010,3,1,4
Zambia,Nigeria,2010,0,0,0
Ghana,Nigeria,2010,1,0,1
Algeria,Egypt,2010,0,4,4
Nigeria,Algeria,2010,1,0,1
Nigeria,Mozambique,2010,3,0,3
Ivory Coast,Algeria,2010,2,3,5
Egypt,Benin,2010,2,0,2
Egypt,Mozambique,2010,2,0,2
Nigeria,Benin,2010,1,0,1
Malawi,Algeria,2010,3,0,3
Mali,Algeria,2010,0,1,1
Angola,Malawi,2010,2,0,2
Angola,Algeria,2010,0,0,0
Mali,Malawi,2010,3,1,4
Ivory Coast,Burkina Faso,2010,0,0,0
Angola,Mali,2010,4,4,8
Ivory Coast,Ghana,2010,3,1,4
Burkina Faso,Ghana,2010,0,1,1
Egypt,Nigeria,2010,3,1,4
Mozambique,Benin,2010,2,2,4
Ghana,Botswana,2012,1,0,1
Mali,Guinea,2012,1,0,1
Botswana,Guinea,2012,1,6,7
Ghana,Mali,2012,2,0,2
Botswana,Mali,2012,1,2,3
Ghana,Guinea,2012,1,1,2
Ghana,Tunisia,2012,2,1,3
Ivory Coast,Equatorial Guinea,2012,3,0,3
Gabon,Mali,2012,1,1,2
Zambia,Ghana,2012,1,0,1
Mali,Ivory Coast,2012,0,1,1
Ghana,Mali,2012,0,2,2
Niger,Morocco,2012,0,1,1
Zambia,Sudan,2012,3,0,3
Gabon,Tunisia,2012,1,0,1
Zambia,Ivory Coast,2012,0,0,0
Niger,Tunisia,2012,1,2,3
Equatorial Guinea,Libya,2012,1,0,1
Senegal,Zambia,2012,1,2,3
Libya,Zambia,2012,2,2,4
Equatorial Guinea,Senegal,2012,2,1,3
Equatorial Guinea,Zambia,2012,0,1,1
Libya,Senegal,2012,2,1,3
Ivory Coast,Sudan,2012,1,0,1
Gabon,Morocco,2012,3,2,5
Sudan,Angola,2012,2,2,4
Ivory Coast,Burkina Faso,2012,2,0,2
Sudan,Burkina Faso,2012,2,1,3
Ivory Coast,Angola,2012,2,0,2
Gabon,Niger,2012,2,0,2
Morocco,Tunisia,2012,1,2,3
Burkina Faso,Angola,2012,1,2,3
Ethiopia,Nigeria,2013,0,2,2
Ivory Coast,Togo,2013,2,1,3
Tunisia,Algeria,2013,1,0,1
Ivory Coast,Tunisia,2013,3,0,3
Algeria,Togo,2013,0,2,2
Algeria,Ivory Coast,2013,2,2,4
Togo,Tunisia,2013,1,1,2
Ivory Coast,Nigeria,2013,1,2,3
South Africa,Mali,2013,1,1,2
Burkina Faso,Togo,2013,1,0,1
Mali,Nigeria,2013,1,4,5
Burkina Faso,Ghana,2013,1,1,2
Mali,Ghana,2013,3,1,4
Burkina Faso,Zambia,2013,0,0,0
Ghana,Cape Verde,2013,2,0,2
Nigeria,Burkina Faso,2013,1,0,1
Burkina Faso,Ethiopia,2013,4,0,4
Nigeria,Burkina Faso,2013,1,1,2
Zambia,Nigeria,2013,1,1,2
South Africa,Cape Verde,2013,0,0,0
Angola,Morocco,2013,0,0,0
South Africa,Angola,2013,2,0,2
Morocco,South Africa,2013,2,2,4
Cape Verde,Angola,2013,2,1,3
Morocco,Cape Verde,2013,1,1,2
Mali,Niger,2013,1,0,1
Ghana,Mali,2013,1,0,1
Niger,DR Congo,2013,0,0,0
Niger,Ghana,2013,0,3,3
DR Congo,Mali,2013,1,1,2
Zambia,Ethiopia,2013,1,1,2
Ghana,DR Congo,2013,2,2,4
Cameroon,Ivory Coast,2015,0,1,1
Ivory Coast,Guinea,2015,1,1,2
Mali,Cameroon,2015,1,1,2
Ivory Coast,Mali,2015,1,1,2
Ivory Coast,Ghana,2015,0,0,0
Guinea,Mali,2015,1,1,2
Senegal,Algeria,2015,0,2,2
Tunisia,Equatorial Guinea,2015,1,2,3
Ghana,Guinea,2015,3,0,3
Ivory Coast,Algeria,2015,3,1,4
DR Congo,Ivory Coast,2015,1,3,4
Ghana,Equatorial Guinea,2015,3,0,3
DR Congo,Equatorial Guinea,2015,0,0,0
Congo,DR Congo,2015,2,4,6
South Africa,Ghana,2015,1,2,3
Cameroon,Guinea,2015,1,1,2
Ghana,Algeria,2015,1,0,1
Equatorial Guinea,Congo,2015,1,1,2
Burkina Faso,Gabon,2015,0,2,2
Equatorial Guinea,Burkina Faso,2015,0,0,0
Gabon,Congo,2015,0,1,1
Gabon,Equatorial Guinea,2015,0,2,2
Congo,Burkina Faso,2015,2,1,3
Zambia,DR Congo,2015,1,1,2
South Africa,Senegal,2015,1,1,2
Zambia,Tunisia,2015,1,2,3
Cape Verde,DR Congo,2015,0,0,0
Cape Verde,Zambia,2015,0,0,0
DR Congo,Tunisia,2015,1,1,2
Ghana,Senegal,2015,1,2,3
Algeria,South Africa,2015,3,1,4
Tunisia,Cape Verde,2015,1,1,2
Ghana,Uganda,2017,1,0,1
Mali,Egypt,2017,0,0,0
Egypt,Uganda,2017,1,0,1
Egypt,Ghana,2017,1,0,1
Uganda,Mali,2017,1,1,2
Burkina Faso,Tunisia,2017,2,0,2
Burkina Faso,Egypt,2017,1,1,2
DR Congo,Ghana,2017,1,2,3
Egypt,Morocco,2017,1,0,1
Cameroon,Ghana,2017,2,0,2
Burkina Faso,Ghana,2017,1,0,1
Cameroon,Egypt,2017,2,1,3
Togo,DR Congo,2017,1,3,4
Senegal,Cameroon,2017,0,0,0
Morocco,Ivory Coast,2017,1,0,1
Ghana,Mali,2017,1,0,1
Ivory Coast,DR Congo,2017,2,2,4
Morocco,Togo,2017,3,1,4
Gabon,Guinea-Bissau,2017,1,1,2
Burkina Faso,Cameroon,2017,1,1,2
Cameroon,Guinea-Bissau,2017,2,1,3
Cameroon,Gabon,2017,0,0,0
Guinea-Bissau,Burkina Faso,2017,0,2,2
Algeria,Zimbabwe,2017,2,2,4
Gabon,Burkina Faso,2017,1,1,2
Algeria,Tunisia,2017,1,2,3
Senegal,Zimbabwe,2017,2,0,2
Senegal,Algeria,2017,2,2,4
Zimbabwe,Tunisia,2017,2,4,6
Ivory Coast,Togo,2017,0,0,0
Tunisia,Senegal,2017,0,2,2
DR Congo,Morocco,2017,1,0,1
Morocco,Benin,2019,1,1,2
Guinea-Bissau,Ghana,2019,0,2,2
Benin,Cameroon,2019,0,0,0
Benin,Guinea-Bissau,2019,0,0,0
Cameroon,Guinea-Bissau,2019,2,0,2
Ghana,Benin,2019,2,2,4
Angola,Mali,2019,0,1,1
Uganda,Senegal,2019,0,1,1
Mauritania,Tunisia,2019,0,0,0
Cameroon,Ghana,2019,0,0,0
Nigeria,Cameroon,2019,3,2,5
Ivory Coast,Algeria,2019,1,1,2
Madagascar,DR Congo,2019,2,2,4
Algeria,Guinea,2019,3,0,3
Mali,Ivory Coast,2019,0,1,1
Ghana,Tunisia,2019,1,1,2
Senegal,Benin,2019,1,0,1
Nigeria,South Africa,2019,2,1,3
Madagascar,Tunisia,2019,0,3,3
Senegal,Tunisia,2019,1,0,1
Algeria,Nigeria,2019,2,1,3
Tunisia,Nigeria,2019,0,1,1
Mauritania,Angola,2019,0,0,0
Egypt,South Africa,2019,0,1,1
Tunisia,Mali,2019,1,1,2
Senegal,Algeria,2019,0,1,1
Tunisia,Angola,2019,1,1,2
Mali,Mauritania,2019,4,1,5
Egypt,Zimbabwe,2019,1,0,1
DR Congo,Uganda,2019,0,2,2
Uganda,Zimbabwe,2019,1,1,2
Egypt,DR Congo,2019,2,0,2
Uganda,Egypt,2019,0,2,2
Zimbabwe,DR Congo,2019,0,4,4
Guinea,Madagascar,2019,2,2,4
Nigeria,Guinea,2019,1,0,1
Madagascar,Burundi,2019,1,0,1
Madagascar,Nigeria,2019,2,0,2
Burundi,Guinea,2019,0,2,2
Nigeria,Burundi,2019,1,0,1
Algeria,Kenya,2019,2,0,2
Senegal,Tanzania,2019,2,0,2
South Africa,Morocco,2019,0,1,1
South Africa,Namibia,2019,1,0,1
Morocco,Ivory Coast,2019,1,0,1
Ivory Coast,South Africa,2019,1,0,1
Namibia,Ivory Coast,2019,1,4,5
Tanzania,Algeria,2019,0,3,3
Kenya,Senegal,2019,0,3,3
